,technology,year,cap_mean_base,fix_mean_base,fix_mean_US,fix_min_US,fix_max_US,US_scenario,cap_par_unit,cap_min_US,cap_mean_US,cap_max_US,cap_factor,fix_factor,cap_min_final,cap_max_final,fix_min_final,fix_max_final
42,Coal Power Plant,2040,79.27447995941148,2.473363774733638,106.17999999999999,70.0,140.54,Moderate,$/kW,2015.0,2015.0,2015.0,0.039342173677127286,0.023294064557672238,79.27447995941148,79.27447995941148,1.6305845190370567,3.273747832935256
43,Coal Power Plant,2040,79.27447995941148,2.473363774733638,98.84666666666665,66.0,140.54,Advanced,$/kW,1908.0,1908.0,1908.0,0.04154846958040434,0.025022227437111067,79.27447995941148,79.27447995941148,1.6514670108493303,3.516623844011589
44,Coal Power Plant,2040,79.27447995941148,2.473363774733638,113.17999999999999,74.0,140.54,Conservative,$/kW,2123.0,2123.0,2123.0,0.037340781893269656,0.02185336432880048,79.27447995941148,79.27447995941148,1.6171489603312355,3.0712718227696194
45,Coal Power Plant,2050,79.27447995941148,2.473363774733638,106.17999999999999,70.0,140.54,Moderate,$/kW,1871.0,1871.0,1871.0,0.04237011221775066,0.023294064557672238,79.27447995941148,79.27447995941148,1.6305845190370567,3.273747832935256
46,Coal Power Plant,2050,79.27447995941148,2.473363774733638,98.84666666666665,66.0,140.54,Advanced,$/kW,1772.0,1772.0,1772.0,0.044737291173482775,0.025022227437111067,79.27447995941148,79.27447995941148,1.6514670108493303,3.516623844011589
47,Coal Power Plant,2050,79.27447995941148,2.473363774733638,113.17999999999999,74.0,140.54,Conservative,$/kW,1971.0,1971.0,1971.0,0.04022043630614484,0.02185336432880048,79.27447995941148,79.27447995941148,1.6171489603312355,3.0712718227696194
48,Gas Power Plant (CCGT),2025,38.05175038051751,1.1098427194317606,28.0,28.0,28.0,Moderate,$/kW,858.0,858.0,858.0,0.04434935941785258,0.03963723997970574,38.05175038051751,38.05175038051751,1.1098427194317606,1.1098427194317606
49,Gas Power Plant (CCGT),2025,38.05175038051751,1.1098427194317606,28.0,28.0,28.0,Advanced,$/kW,858.0,858.0,858.0,0.04434935941785258,0.03963723997970574,38.05175038051751,38.05175038051751,1.1098427194317606,1.1098427194317606
50,Gas Power Plant (CCGT),2025,38.05175038051751,1.1098427194317606,28.0,28.0,28.0,Conservative,$/kW,858.0,858.0,858.0,0.04434935941785258,0.03963723997970574,38.05175038051751,38.05175038051751,1.1098427194317606,1.1098427194317606
51,Gas Power Plant (CCGT),2030,38.05175038051751,1.1098427194317606,28.0,28.0,28.0,Moderate,$/kW,832.0,832.0,832.0,0.04573527689966047,0.03963723997970574,38.05175038051751,38.05175038051751,1.1098427194317606,1.1098427194317606
52,Gas Power Plant (CCGT),2030,38.05175038051751,1.1098427194317606,28.0,28.0,28.0,Advanced,$/kW,832.0,832.0,832.0,0.04573527689966047,0.03963723997970574,38.05175038051751,38.05175038051751,1.1098427194317606,1.1098427194317606
53,Gas Power Plant (CCGT),2030,38.05175038051751,1.1098427194317606,28.0,28.0,28.0,Conservative,$/kW,832.0,832.0,832.0,0.04573527689966047,0.03963723997970574,38.05175038051751,38.05175038051751,1.1098427194317606,1.1098427194317606
54,Gas Power Plant (CCGT),2040,38.05175038051751,1.1098427194317606,28.0,28.0,28.0,Moderate,$/kW,796.0,796.0,796.0,0.047803706508187827,0.03963723997970574,38.05175038051751,38.05175038051751,1.1098427194317606,1.1098427194317606
55,Gas Power Plant (CCGT),2040,38.05175038051751,1.1098427194317606,28.0,28.0,28.0,Advanced,$/kW,796.0,796.0,796.0,0.047803706508187827,0.03963723997970574,38.05175038051751,38.05175038051751,1.1098427194317606,1.1098427194317606
56,Gas Power Plant (CCGT),2040,38.05175038051751,1.1098427194317606,28.0,28.0,28.0,Conservative,$/kW,796.0,796.0,796.0,0.047803706508187827,0.03963723997970574,38.05175038051751,38.05175038051751,1.1098427194317606,1.1098427194317606
57,Gas Power Plant (CCGT),2050,38.05175038051751,1.1098427194317606,28.0,28.0,28.0,Moderate,$/kW,764.0,764.0,764.0,0.04980595599544177,0.03963723997970574,38.05175038051751,38.05175038051751,1.1098427194317606,1.1098427194317606
58,Gas Power Plant (CCGT),2050,38.05175038051751,1.1098427194317606,28.0,28.0,28.0,Advanced,$/kW,764.0,764.0,764.0,0.04980595599544177,0.03963723997970574,38.05175038051751,38.05175038051751,1.1098427194317606,1.1098427194317606
59,Gas Power Plant (CCGT),2050,38.05175038051751,1.1098427194317606,28.0,28.0,28.0,Conservative,$/kW,764.0,764.0,764.0,0.04980595599544177,0.03963723997970574,38.05175038051751,38.05175038051751,1.1098427194317606,1.1098427194317606
60,Gas Power Plant (SCGT),2025,22.196854388635213,0.6341958396752918,21.0,21.0,21.0,Moderate,$/kW,746.0,746.0,746.0,0.02975449649951101,0.03019980188929961,22.196854388635213,22.196854388635213,0.6341958396752918,0.6341958396752918
61,Gas Power Plant (SCGT),2025,22.196854388635213,0.6341958396752918,21.0,21.0,21.0,Advanced,$/kW,746.0,746.0,746.0,0.02975449649951101,0.03019980188929961,22.196854388635213,22.196854388635213,0.6341958396752918,0.6341958396752918
62,Gas Power Plant (SCGT),2025,22.196854388635213,0.6341958396752918,21.0,21.0,21.0,Conservative,$/kW,746.0,746.0,746.0,0.02975449649951101,0.03019980188929961,22.196854388635213,22.196854388635213,0.6341958396752918,0.6341958396752918
63,Gas Power Plant (SCGT),2030,22.196854388635213,0.6341958396752918,21.0,21.0,21.0,Moderate,$/kW,712.0,712.0,712.0,0.031175357287409007,0.03019980188929961,22.196854388635213,22.196854388635213,0.6341958396752918,0.6341958396752918
64,Gas Power Plant (SCGT),2030,22.196854388635213,0.6341958396752918,21.0,21.0,21.0,Advanced,$/kW,712.0,712.0,712.0,0.031175357287409007,0.03019980188929961,22.196854388635213,22.196854388635213,0.6341958396752918,0.6341958396752918
65,Gas Power Plant (SCGT),2030,22.196854388635213,0.6341958396752918,21.0,21.0,21.0,Conservative,$/kW,712.0,712.0,712.0,0.031175357287409007,0.03019980188929961,22.196854388635213,22.196854388635213,0.6341958396752918,0.6341958396752918
66,Gas Power Plant (SCGT),2040,22.196854388635213,0.6341958396752918,21.0,21.0,21.0,Moderate,$/kW,673.0,673.0,673.0,0.03298195302917565,0.03019980188929961,22.196854388635213,22.196854388635213,0.6341958396752918,0.6341958396752918
67,Gas Power Plant (SCGT),2040,22.196854388635213,0.6341958396752918,21.0,21.0,21.0,Advanced,$/kW,673.0,673.0,673.0,0.03298195302917565,0.03019980188929961,22.196854388635213,22.196854388635213,0.6341958396752918,0.6341958396752918
68,Gas Power Plant (SCGT),2040,22.196854388635213,0.6341958396752918,21.0,21.0,21.0,Conservative,$/kW,673.0,673.0,673.0,0.03298195302917565,0.03019980188929961,22.196854388635213,22.196854388635213,0.6341958396752918,0.6341958396752918
69,Gas Power Plant (SCGT),2050,22.196854388635213,0.6341958396752918,21.0,21.0,21.0,Moderate,$/kW,641.0,641.0,641.0,0.03462847798539035,0.03019980188929961,22.196854388635213,22.196854388635213,0.6341958396752918,0.6341958396752918
70,Gas Power Plant (SCGT),2050,22.196854388635213,0.6341958396752918,21.0,21.0,21.0,Advanced,$/kW,641.0,641.0,641.0,0.03462847798539035,0.03019980188929961,22.196854388635213,22.196854388635213,0.6341958396752918,0.6341958396752918
71,Gas Power Plant (SCGT),2050,22.196854388635213,0.6341958396752918,21.0,21.0,21.0,Conservative,$/kW,641.0,641.0,641.0,0.03462847798539035,0.03019980188929961,22.196854388635213,22.196854388635213,0.6341958396752918,0.6341958396752918
72,Geothermal Power Plant,2025,126.83916793505837,3.805175038051751,267.0771477925793,103.35679717929392,495.69102212833474,Moderate,$/kW,4.231,4.231,4.231,29.978531773826134,0.014247475193972688,126.83916793505837,126.83916793505837,1.4725734039404563,7.0623455416484155
73,Geothermal Power Plant,2025,126.83916793505837,3.805175038051751,200.6594448782711,102.82158454657451,333.00365180681246,Advanced,$/kW,4050.0,4050.0,4050.0,0.03131831307038478,0.018963348774138883,126.83916793505837,126.83916793505837,1.9498415692663014,6.3148643922744885
74,Geothermal Power Plant,2025,126.83916793505837,3.805175038051751,289.25264446657906,107.38936857780548,535.6035241127811,Conservative,$/kW,4446.0,4446.0,4446.0,0.02852882769569464,0.01315519533129596,126.83916793505837,126.83916793505837,1.4127281201455677,7.045968979834121
75,Geothermal Power Plant,2030,126.83916793505837,3.805175038051751,244.9016511185796,99.3242257807824,455.77852014388833,Moderate,$/kW,3.903,3.903,3.903,32.497865215234015,0.015537563837041314,126.83916793505836,126.83916793505836,1.5432564986336113,7.081687852287885
76,Geothermal Power Plant,2030,126.83916793505837,3.805175038051751,112.06624528996316,91.00170388547414,131.33270445179997,Advanced,$/kW,3541.0,3541.0,3541.0,0.03582015474020287,0.033954693745704964,126.83916793505837,126.83916793505837,3.089934985768604,4.459361758456051
77,Geothermal Power Plant,2030,126.83916793505837,3.805175038051751,289.25264446657906,107.38936857780548,535.6035241127811,Conservative,$/kW,4336.0,4336.0,4336.0,0.029252575630779144,0.01315519533129596,126.83916793505837,126.83916793505837,1.4127281201455677,7.045968979834121
78,Geothermal Power Plant,2040,126.83916793505837,3.805175038051751,244.9016511185796,99.3242257807824,455.77852014388833,Moderate,$/kW,3.712,3.712,3.712,34.17003446526357,0.015537563837041314,126.83916793505837,126.83916793505837,1.5432564986336113,7.081687852287885
79,Geothermal Power Plant,2040,126.83916793505837,3.805175038051751,112.06624528996316,91.00170388547414,131.33270445179997,Advanced,$/kW,3368.0,3368.0,3368.0,0.037660085491406876,0.033954693745704964,126.83916793505836,126.83916793505836,3.089934985768604,4.459361758456051
80,Geothermal Power Plant,2040,126.83916793505837,3.805175038051751,289.25264446657906,107.38936857780548,535.6035241127811,Conservative,$/kW,4124.0,4124.0,4124.0,0.03075634528008205,0.01315519533129596,126.83916793505837,126.83916793505837,1.4127281201455677,7.045968979834121
81,Geothermal Power Plant,2050,126.83916793505837,3.805175038051751,244.9016511185796,99.3242257807824,455.77852014388833,Moderate,$/kW,3.53,3.53,3.53,35.93177561899671,0.015537563837041314,126.83916793505838,126.83916793505838,1.5432564986336113,7.081687852287885
